length,difficulty,longitude,latitude,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
6.6,INTERMEDIATE/DIFFICULT,34.540197,-112.3979,https://www.mtbproject.com/trail/4417144/305-homestead-trail,Prescott,0.9403141361256544,4.1,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,978.0,506.0,4.0,16.0,6056.0,5473.0,Unknown,Unknown
6.3,INTERMEDIATE,33.768669,-112.04396399999999,https://www.mtbproject.com/trail/7011741/ocotillo-trail,Cave Creek,0.9392670157068063,4.1,,,,,448.0,322.0,2.0,10.0,1919.0,1701.0,Leashed,Unknown
1.3,INTERMEDIATE/DIFFICULT,34.881352,-111.77101100000002,https://www.mtbproject.com/trail/4920153/javelina,Sedona,0.9382198952879581,4.2,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,32.0,333.0,6.0,14.0,4542.0,4241.0,Unknown,Unknown
2.5,INTERMEDIATE/DIFFICULT,32.336052,-110.71991899999999,https://www.mtbproject.com/trail/305799/molino-basin,Tanque Verde,0.9371727748691099,4.0,Tucson Off Road Cyclists & Activists (TORCA),https://www.mtbproject.com/club/7000193/tucson-off-road-cyclists-activists-torca,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,169.0,676.0,6.0,25.0,4913.0,4320.0,Unknown,Unknown
2.4,INTERMEDIATE,32.155867,-110.778121,https://www.mtbproject.com/trail/7056286/burro-pit-loop,Tanque Verde,0.9361256544502617,5.0,,,,,66.0,98.0,1.0,7.0,2832.0,2801.0,Unknown,Not Allowed
1.9,INTERMEDIATE,33.50247,-111.665054,https://www.mtbproject.com/trail/666198/ridge-trail-59,Fountain Hills,0.9350785340314136,4.4,USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,70.0,377.0,4.0,10.0,1739.0,1373.0,Unknown,Unknown
2.0,EASY,33.758176,-111.84328899999998,https://www.mtbproject.com/trail/7009162/latigo-trail,Carefree,0.9340314136125655,4.8,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,107.0,133.0,2.0,7.0,2837.0,2706.0,Leashed,Not Allowed
1.4,INTERMEDIATE,33.837425,-111.98624699999999,https://www.mtbproject.com/trail/647570/quartz-trail,Cave Creek,0.9329842931937172,4.8,,,,,70.0,299.0,5.0,9.0,2407.0,2114.0,Unknown,Allowed
5.2,INTERMEDIATE,35.139736,-111.68779099999999,https://www.mtbproject.com/trail/7016899/soldiers-trail,Kachina Village,0.9319371727748691,3.8,Coconino County and the City of Flagstaff,http://www.flagstaff.az.gov/index.aspx?NID=1379,,,306.0,310.0,2.0,8.0,7129.0,6955.0,Unknown,Unknown
3.3,DIFFICULT,35.225396999999994,-114.129097,https://www.mtbproject.com/trail/926183/badger-trail,Golden Valley,0.930890052356021,4.7,Colorado River Area Trail Alliance,https://www.mtbproject.com/club/4044379/colorado-river-area-trail-alliance,BLM Arizona - Kingman Field Office,http://www.blm.gov/az/st/en/fo/kingman_field_office.html,1042.0,4.0,6.0,11.0,4485.0,3446.0,Unknown,Unknown
