trail_name,length,longitude,latitude,popularity,rating,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,difficulty_difficult,difficulty_easy,difficulty_easy/intermediate,difficulty_intermediate,difficulty_intermediate/difficult,difficulty_very difficult,dog_policy_leashed,dog_policy_no dogs,dog_policy_off-leash,dog_policy_unknown,e_bike_policy_allowed,e_bike_policy_not allowed,e_bike_policy_unknown
badlands trail,0.04841040462427746,0.21329423331222586,0.6422320324567785,0.956020942408377,0.8800000000000001,0.02239909840107065,0.025504693860596492,0.10526315789473684,0.061224489795918366,0.3429249762583096,0.3481308411214953,0,0,0,1,0,0,0,0,0,1,0,0,1
south loop,0.024566473988439304,0.12343696469482879,0.7205005391676238,0.9549738219895287,0.8800000000000001,0.0132422342748468,0.020686217496053833,0.10526315789473684,0.07142857142857142,0.3572649572649573,0.3702763104429094,0,0,1,0,0,0,0,1,0,0,0,0,1
horton creek trail,0.025289017341040464,0.5367165230021778,0.6266173928097203,0.9539267015706806,1.0,0.08551102345565965,0.0007476946082911024,0.3684210526315789,0.29591836734693877,0.6192782526115859,0.5401259650548557,0,0,0,0,1,0,0,0,1,0,0,0,1
granite mountain loop trail,0.033236994219653176,0.43498249800360966,0.502937992464858,0.9528795811518325,0.9,0.025075720222582237,0.02533853950319847,0.15789473684210525,0.08163265306122448,0.2668566001899335,0.2591426249492076,0,0,0,1,0,0,0,0,0,1,0,1,0
made in the shade,0.00939306358381503,0.6190113438501825,0.507932535627063,0.9518324607329843,0.76,0.011692611115024301,0.02533853950319847,0.3684210526315789,0.18367346938775508,0.4192782526115859,0.4205607476635514,1,0,0,0,0,0,0,0,0,1,0,0,1
goldwater lakes trail #396,0.033236994219653176,0.5662954057058629,0.38324524492545464,0.9507853403141361,0.82,0.06142142706205537,0.028080086400265845,0.2631578947368421,0.12244897959183673,0.5735042735042735,0.559833401056481,0,0,0,1,0,0,0,0,0,1,0,0,1
firewater trail #325,0.007947976878612718,0.5757814931049783,0.3747513515293619,0.949738219895288,1.0,0.0,0.020270831602558777,0.21052631578947367,0.1020408163265306,0.549477682811016,0.563592035757822,0,0,0,1,0,0,0,0,0,1,0,0,1
the chutes,0.010115606936416183,0.20718393261923218,0.6668486493159698,0.9486910994764398,0.82,0.011269986616890893,0.013541580127938855,0.21052631578947367,0.09183673469387754,0.30047483380816714,0.30556684274685086,0,0,0,0,1,0,0,0,0,1,0,0,1
bell rock trail,0.025289017341040464,0.6232051460350432,0.5069817056364876,0.9476439790575917,0.7000000000000001,0.014087483271113616,0.02467392207360638,0.15789473684210525,0.061224489795918366,0.404653371320038,0.4118244616009752,0,0,1,0,0,0,0,0,0,1,0,0,1
secret trail,0.006502890173410405,0.3572688851870103,0.4627271649785989,0.9465968586387434,0.8800000000000001,0.0014791857434669298,0.008058486333804104,0.15789473684210525,0.07142857142857142,0.13276353276353275,0.13327915481511582,0,0,0,1,0,0,0,0,0,1,1,0,0
ranch trail #62,0.06864161849710983,0.5644172907263076,0.39007822377419643,0.9455497382198953,0.9400000000000001,0.041698950482496305,0.09670183600564924,0.15789473684210525,0.13265306122448978,0.6107312440645773,0.5570906135717187,0,0,0,1,0,0,0,0,0,1,0,0,1
inner basin trail,0.012283236994219652,0.7163832147222777,0.5309780551819507,0.9445026178010472,1.0,0.0,0.059649414305890165,0.42105263157894735,0.21428571428571427,0.8782526115859448,0.8670255993498577,0,0,0,0,1,0,0,0,0,1,0,0,1
peavine trail,0.03901734104046243,0.5787686242682808,0.39218382173073607,0.9434554973821989,0.9,0.003240121152356132,0.020935449032150867,0.05263157894736842,0.030612244897959183,0.4823361823361823,0.4944128403088175,0,1,0,0,0,0,1,0,0,0,0,0,1
